"","intercept","beta_1","rss","rank"
"12593",18.5,-7.75,1660586.75074667,12633
"12594",19,-7.75,1657160.84281889,12621
"12595",19.5,-7.75,1653739.93489111,12608
"12596",20,-7.75,1650324.02696333,12595
"12597",20.5,-7.75,1646913.11903555,12582
"12598",21,-7.75,1643507.21110777,12569
"12599",21.5,-7.75,1640106.30317999,12557
"12600",22,-7.75,1636710.39525221,12545
"12601",22.5,-7.75,1633319.48732443,12532
"12602",23,-7.75,1629933.57939664,12519
"12603",23.5,-7.75,1626552.67146886,12506
"12604",24,-7.75,1623176.76354108,12493
"12605",24.5,-7.75,1619805.8556133,12481
"12606",25,-7.75,1616439.94768552,12469
"12607",25.5,-7.75,1613079.03975774,12456
